date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2023-01-01,3,6.7305,1.9305,4.0284166,4.3398285,-1.7117946,1.4544826,0,0,0,0,0,0,11.792404,20.880001,83.29893,3.03,0.31826794
2023-01-02,1,4.8805003,0.0305,2.3700833,2.79713,-3.5306091,-0.6787131,0,0,0,0,0,0,10.587917,14.04,69.27434,4.02,0.39257556
2023-01-03,51,5.0305004,-0.4195,3.2200832,0.99792767,-4.3535953,-0.5694704,0,0,1.1,1.1,0,7,15.716793,26.28,75.92395,1.7,0.46552876
2023-01-04,3,7.3305,2.2805,4.8075833,4.9530544,-1.1640782,1.4280618,0,0,0,0,0,0,15.484185,28.08,103.06235,4.02,0.75428957
2023-01-05,63,9.2305,4.2305,6.690916,4.3280125,1.4927812,3.0289037,0,0,12.099999,12.099999,0,16,30.993471,52.56,99.40727,1.33,0.73708487
2023-01-06,53,9.330501,5.8305,7.643,5.2712717,2.0849667,3.7057488,0,0,1.7000002,1.7000002,0,7,23.469128,38.88,87.60776,1.88,0.8295923
2023-01-07,61,7.5305004,6.2305,6.903417,5.4738035,1.5954685,3.7344244,0,0,9.6,9.6,0,15,22.963936,37.8,80.503716,0.99,0.4046423
2023-01-08,63,6.7305,2.6805,5.368,3.4920225,-0.31748438,2.1143382,0,0,15.099998,15.099998,0,15,22.180206,35.64,75.79786,0.6,0.26648203
2023-01-09,61,8.7805,4.8305,6.2013335,3.2739825,0.7645607,1.9730406,0,0,8.599999,8.599999,0,11,35.143818,60.479996,80.621155,1.51,0.67017716
2023-01-10,63,10.9805,4.4305,6.9409165,9.553108,0.5466385,4.115831,0,0,7.3,7.3,0,10,19.33639,32.760002,60.02571,4.01,0.5716356
2023-01-11,51,9.330501,1.7305,6.213833,5.44123,-2.3454275,2.4253078,0,0,0.2,0.2,0,2,18.079027,29.16,82.62792,1.66,0.85197794
2023-01-12,61,9.6305,6.3305,7.999249,5.8297806,2.6360207,4.5088735,0,0,21.8,21.8,0,23,26.727423,45,90.98328,0.36,0.437265
2023-01-13,61,10.080501,8.330501,9.136751,7.3740673,5.258046,6.368094,0,0,12.700001,12.700001,0,21,19.770523,33.48,96.95423,1.61,0.3457819
2023-01-14,61,12.4805,5.1305003,8.361749,11.039503,2.757928,5.86005,0,0,5.6000004,5.6000004,0,7,16.199999,26.28,67.07133,5.37,0.70120114
2023-01-15,61,8.7805,5.0805,6.9284167,6.811762,2.221157,4.169625,0,0,9.1,9.1,0,15,17.727943,29.88,70.10991,2.12,0.42164332
2023-01-16,61,7.3805003,5.3305,6.143,4.2850304,1.4137244,2.8141534,0,0,15.000002,15.000002,0,14,20.991426,35.64,97.54115,1.35,0.2817064
2023-01-17,61,6.1805,5.1305003,5.628416,3.3146086,1.0222092,2.19597,0,0,16.4,16.4,0,21,20.172853,33.48,96.05591,1.15,0.22377123
2023-01-18,55,6.3805003,2.5805,5.33675,3.3473296,-0.51698637,1.0918382,0,0,5.7999997,5.7999997,0,15,29.427662,48.6,116.38984,2.2,0.451219
2023-01-19,51,5.5805,0.63049996,2.5950835,2.7453651,-2.4826336,-0.20293249,0,0,0.6,0.6,0,3,9.422101,16.919998,78.102806,4.18,0.39857537
2023-01-20,51,5.7805004,1.7804999,4.015917,3.6135592,-1.3829875,1.3855869,0,0,0.4,0.4,0,4,9.779817,17.28,94.07104,3.03,0.36037624
2023-01-21,73,3.7305,0.8305,2.5617502,1.0503755,-2.5707057,-0.9750836,0,0,11.600001,8.900001,1.89,10,20.523157,33.48,66.11869,0.59,0.18051028
2023-01-22,51,5.2805004,-0.4195,2.6575835,3.068129,-4.2911463,-0.058863413,0,0,0.5,0.5,0,5,11.808878,24.119999,48.923992,3.43,0.38045293
2023-01-23,51,4.7305,1.6305,3.3409169,3.0688543,-1.2450271,0.6258362,0,0,0.6,0.6,0,3,11.384199,18.72,66.78048,1.39,0.251684
2023-01-24,53,4.9805,3.3805,4.11175,2.3357816,-0.25152683,1.2050257,0,0,7.199999,7.199999,0,21,13.661038,22.68,70.70096,0.93,0.2051491
2023-01-25,3,6.6305003,2.1305,4.747167,4.5149403,-0.32686567,2.650835,0,0,0,0,0,0,6.924738,11.879999,327.93802,3,0.37603602
2023-01-26,53,5.0305004,2.6805,4.2075834,2.713076,0.12703896,1.7833748,0,0,2.3000002,2.3000002,0,13,10.630672,16.56,89.52652,0.95,0.21139377
2023-01-27,53,6.7805004,2.9805,4.93675,4.7712803,0.31274414,2.676316,0,0,1.7,1.7,0,4,12.979984,20.880001,86.4786,5.35,0.56731606
2023-01-28,51,7.3305,-0.5195,3.4450836,4.5828333,-5.2416162,0.1361485,0,0,0.2,0.2,0,2,13.849477,25.56,14.420801,6.56,0.93732864
2023-01-29,0,1.2305,-3.7195,-0.85908335,-2.1110294,-7.9962482,-4.8457212,0,0,0,0,0,0,11.457958,18,138.85075,7.69,0.8247936
2023-01-30,3,2.1305,-4.6194997,-0.9486665,-1.9334822,-8.443631,-4.694207,0,0,0,0,0,0,6.830519,13.679999,146.30988,5.94,0.668199
2023-01-31,71,1.5805,-1.5695,-0.07783331,-2.2254205,-5.538707,-3.8749447,0,0,1.0000001,0,0.7,8,12.620554,20.16,94.772964,2.08,0.42022642
2023-02-01,73,4.6805,0.5305,1.9846667,1.2080755,-3.2335835,-1.5970968,0,0,2.8,1.2000002,1.1200001,14,12.904882,22.319998,75.665535,2.7,0.45838818
2023-02-02,3,7.6305003,1.1305,4.1200833,3.962247,-2.44032,0.59288913,0,0,0,0,0,0,17.294992,28.44,74.34944,3.67,0.7951769
2023-02-03,63,8.330501,3.5305,6.1388326,3.5592003,0.2552619,1.8774375,0,0,8.9,8.9,0,9,35.951363,59.399998,116.625435,2.13,0.8207108
2023-02-04,55,9.080501,5.3805003,6.893,4.9938364,2.0740795,3.440566,0,0,6.6000004,6.6000004,0,15,20.532627,34.2,86.369865,2.17,0.5207478
2023-02-05,51,7.7805004,4.8805003,6.220083,6.233124,1.9635043,3.8318298,0,0,2.5,2.5,0,12,17.313717,28.08,317.84952,2.46,0.40077695
2023-02-06,55,6.9305,4.3805003,5.7930007,4.2513685,1.5398726,2.7629852,0,0,6.7,6.7,0,18,21.313093,34.92,134.79114,1.29,0.23552896
2023-02-07,63,7.5805,4.3805003,6.0305,5.586974,0.58627653,2.3963249,0,0,30.5,30.5,0,18,22.565422,36.719997,128.52846,2.33,0.45693573
2023-02-08,53,6.4805,-0.6695,3.6388333,2.9421954,-4.2892494,0.2657119,0,0,1.2,1.2,0,6,13.493999,25.199999,52.695965,6.82,0.7196058
